lastScraped,position,company,contact,location,posted,due,start,end,compensation,qualifications,skills,remote,index,url,description
2021-04-28T00:51:19.483Z,3856,3856,454,3856,3102,67,111,0,1059,1295,3799,1392,3856,3856,3856
2021-04-28T16:16:29.600Z,3786,3786,374,3786,3029,81,118,0,1234,1288,3731,1723,3786,3786,3786
2021-05-03T04:45:54.591Z,2781,2781,256,2781,2044,65,107,0,974,857,2722,1415,2781,2781,2781
2021-06-06T21:15:46.953Z,3066,3066,232,3066,2831,74,104,0,952,1071,3039,822,3066,3066,3066
2021-06-14T06:06:16.724Z,3309,3309,358,3309,1878,91,132,0,1073,1301,3286,967,3309,3309,3309
2021-06-15T19:40:40.983Z,3073,3073,356,3073,1624,76,132,0,949,1204,3046,807,3073,3073,3073
2021-06-16T20:42:58.270Z,3300,3300,382,3300,1855,101,165,0,995,1262,3279,852,3300,3300,3300
2021-06-16T20:42:58.270Z,4492,4492,441,4492,2153,108,170,0,1337,1529,4418,1795,4492,4492,4492
2021-06-28T18:08:28.219Z,4450,4450,427,4450,1977,134,232,0,1261,1470,4367,1713,4450,4450,4450
2021-07-01T18:43:46.223Z,4247,4247,411,4247,1899,113,316,0,1239,1403,4165,1628,4247,4247,4247
2021-07-08T08:27:01.872Z,4156,4156,372,4156,1856,146,319,0,1227,1419,4083,1573,4156,4156,4156
2021-08-31T19:21:51.643Z,3421,3421,272,3421,1484,89,168,0,934,1132,3356,1278,3421,3421,3421
2021-09-03T18:31:21.790Z,3470,3470,280,3470,1532,92,178,0,967,1145,3396,1268,3470,3470,3470
2021-09-08T18:26:45.846Z,3592,3592,302,3592,1654,97,182,0,996,1211,3529,1291,3592,3592,3592
2021-09-10T17:38:05.811Z,4341,4341,400,4341,2403,141,240,0,1257,1599,4278,1459,4341,4341,4341
2021-09-13T06:50:37.428Z,4051,4051,365,4051,2084,127,215,0,1185,1477,3988,1411,4051,4051,4051
