lastScraped,position,company,contact,location,posted,due,start,end,compensation,qualifications,skills,remote,index,url,description
2021-04-05T04:10:27.060Z,117,117,10,117,0,1,4,0,22,35,116,4,117,117,117
2021-04-12T08:05:53.712Z,114,114,7,114,0,1,3,0,24,35,114,4,114,114,114
2021-04-12T08:05:53.712Z,114,114,7,114,0,1,3,0,24,35,114,4,114,114,114
2021-04-24T17:01:49.573Z,102,102,4,102,0,4,3,0,24,25,102,8,102,102,102
2021-04-28T00:51:19.483Z,90,90,4,90,0,2,2,0,14,28,90,6,90,90,90
2021-04-28T16:16:29.600Z,92,92,4,92,0,2,2,0,12,29,92,6,92,92,92
2021-05-03T04:45:54.591Z,72,72,4,72,0,2,2,0,17,25,72,7,72,72,72
2021-06-06T21:15:46.953Z,56,56,3,56,0,2,0,0,20,17,56,7,56,56,56
2021-06-14T06:06:16.724Z,34,34,2,34,0,1,0,0,12,11,34,5,34,34,34
2021-06-15T19:40:40.983Z,52,52,3,52,0,2,0,0,18,13,52,5,52,52,52
2021-06-16T20:42:58.270Z,48,48,5,48,0,1,0,0,20,13,48,7,48,48,48
2021-06-16T20:42:58.270Z,48,48,5,48,0,1,0,0,20,13,48,7,48,48,48
2021-06-24T18:02:19.981Z,66,66,6,66,0,0,0,0,15,14,66,9,66,66,66
N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
