lastScraped,position,company,contact,location,posted,due,start,end,compensation,qualifications,skills,remote,index,url,description
2021-04-05T04:10:28.117Z,5,5,5,5,0,0,0,0,0,3,5,0,5,5,5
2021-04-12T08:05:53.295Z,6,6,6,6,0,0,0,0,0,4,6,0,6,6,6
2021-04-19T05:41:22.576Z,5,5,5,5,0,0,0,0,0,3,5,0,5,5,5
2021-04-24T17:01:49.256Z,9,9,9,9,0,1,0,0,1,4,9,0,9,9,9
2021-04-28T00:51:19.638Z,9,9,9,9,0,1,0,0,1,4,9,0,9,9,9
2021-04-28T16:16:31.237Z,9,9,9,9,0,1,0,0,1,4,9,0,9,9,9
2021-04-28T16:16:31.237Z,9,9,9,9,0,1,0,0,1,4,9,0,9,9,9
2021-04-28T16:16:31.237Z,9,9,9,9,0,1,0,0,1,4,9,0,9,9,9
2021-06-14T06:06:04.043Z,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1
2021-06-15T19:40:39.750Z,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1
2021-06-21T06:47:45.783Z,2,2,2,2,0,0,0,0,0,0,2,1,2,2,2
2021-06-24T10:55:26.498Z,2,2,2,2,0,0,0,0,0,0,2,1,2,2,2
2021-06-28T18:08:28.219Z,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1
2021-07-01T18:43:46.223Z,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1
2021-07-08T08:27:01.872Z,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1
2021-08-31T19:21:51.643Z,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1
2021-09-03T18:31:21.790Z,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1
2021-09-08T18:26:45.846Z,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1
2021-09-10T17:38:05.811Z,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1
2021-09-13T06:50:37.428Z,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1
2021-09-20T17:22:25.195Z,2,2,2,2,0,0,0,0,0,2,2,0,2,2,2
2021-09-20T17:25:01.727Z,2,2,2,2,0,0,0,0,0,2,2,0,2,2,2
