lastScraped,position,company,contact,location,posted,due,start,end,compensation,qualifications,skills,remote,index,url,description
2021-04-05T04:10:38.896Z,40,40,1,40,40,0,0,0,0,0,39,0,40,40,40
2021-04-12T08:06:05.011Z,40,40,1,40,40,0,0,0,0,0,38,0,40,40,40
2021-04-19T05:41:34.601Z,40,40,1,40,40,0,0,0,0,0,38,0,40,40,40
2021-04-24T17:01:58.333Z,40,40,1,40,40,0,0,0,0,0,38,0,40,40,40
2021-04-28T00:51:30.332Z,40,40,1,40,40,0,0,0,0,0,38,0,40,40,40
2021-04-28T16:16:37.458Z,40,40,1,40,40,0,0,0,0,0,38,0,40,40,40
2021-05-03T04:46:04.459Z,40,40,1,40,40,0,0,0,0,0,38,0,40,40,40
N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-14T06:06:17.271Z,20,20,1,20,20,0,0,0,0,0,15,0,20,20,20
2021-06-15T19:40:47.031Z,20,20,1,20,20,0,0,0,0,0,15,0,20,20,20
2021-06-21T06:47:52.675Z,20,20,1,20,20,0,0,0,0,0,15,0,20,20,20
N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-24T18:12:48.699Z,20,20,0,20,20,0,0,0,0,0,16,0,20,20,20
2021-06-28T18:08:42.176Z,20,20,1,20,20,0,0,0,0,0,15,0,20,20,20
2021-07-01T18:43:48.956Z,20,20,1,20,20,0,0,0,0,0,15,0,20,20,20
2021-07-08T08:26:53.192Z,20,20,0,20,20,0,0,0,0,0,16,0,20,20,20
2021-08-31T19:21:59.809Z,20,20,1,20,20,0,0,0,0,0,16,0,20,20,20
2021-09-03T18:31:30.429Z,20,20,1,20,20,0,0,0,0,0,16,0,20,20,20
2021-09-08T18:26:52.384Z,20,20,1,20,20,0,0,0,0,0,16,0,20,20,20
2021-09-10T17:38:14.160Z,20,20,1,20,20,0,0,0,0,0,16,0,20,20,20
2021-09-13T06:50:45.101Z,20,20,1,20,20,0,0,0,0,0,16,0,20,20,20
2021-09-20T17:22:31.265Z,20,20,1,20,20,0,0,0,0,0,17,0,20,20,20
2021-09-20T17:25:10.298Z,20,20,1,20,20,0,0,0,0,0,17,0,20,20,20
2021-09-22T17:41:27.711Z,20,20,1,20,20,0,0,0,0,0,18,0,20,20,20
2021-09-23T18:35:32.792Z,20,20,1,20,20,0,0,0,0,0,18,0,20,20,20
