lastScraped,position,company,contact,location,posted,due,start,end,compensation,qualifications,skills,remote,index,url,description
2021-06-14T06:06:17.324Z,6,6,0,6,6,0,0,0,2,0,6,0,6,6,6
2021-06-15T19:40:35.942Z,6,6,0,6,6,0,0,0,2,0,6,0,6,6,6
2021-06-21T06:47:34.261Z,6,6,0,6,6,0,0,0,2,0,6,0,6,6,6
2021-06-24T10:55:42.543Z,6,6,0,6,6,0,0,0,2,0,6,0,6,6,6
N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01T18:43:31.823Z,6,6,0,6,6,0,0,0,2,0,6,0,6,6,6
2021-07-08T08:27:11.408Z,6,6,0,6,6,0,0,0,2,0,6,0,6,6,6
N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
