lastScraped,position,company,contact,location,posted,due,start,end,compensation,qualifications,skills,remote,index,url,description
2021-04-05T04:10:45.960Z,12,12,0,12,12,0,0,0,0,0,3,1,12,12,0
2021-04-12T08:06:13.188Z,9,9,0,9,9,0,0,0,0,0,2,1,9,9,9
2021-04-19T05:41:45.446Z,8,8,0,8,8,0,0,0,0,0,1,1,8,8,8
2021-04-24T17:02:02.886Z,9,9,0,9,9,0,0,0,0,0,2,1,9,9,9
2021-04-28T00:51:38.377Z,7,7,0,7,7,0,0,0,0,0,1,1,7,7,7
2021-04-28T16:16:44.030Z,6,6,0,6,6,0,0,0,0,0,1,0,6,6,6
2021-05-03T04:46:07.973Z,8,8,0,8,8,0,0,0,0,0,2,0,8,8,8
2021-05-03T04:46:07.973Z,8,8,0,8,8,0,0,0,0,0,2,0,8,8,8
2021-06-14T06:06:05.786Z,6,6,0,6,6,1,0,0,2,1,6,3,6,6,6
2021-06-15T19:40:44.627Z,7,7,0,7,7,4,0,0,2,4,7,6,7,7,7
2021-06-21T06:47:30.855Z,9,9,0,9,9,4,0,0,2,3,9,5,9,9,9
