lastScraped,position,company,contact,location,posted,due,start,end,compensation,qualifications,skills,remote,index,url,description
2021-04-05T04:11:27.940Z,204,204,20,204,200,8,11,0,45,85,203,69,204,204,204
2021-04-12T08:06:38.000Z,208,208,28,208,204,8,13,0,67,94,207,73,208,208,208
2021-04-19T05:42:12.319Z,192,192,10,192,191,12,9,0,48,83,192,65,192,192,192
2021-04-28T00:52:10.416Z,207,207,27,207,207,6,6,0,61,76,207,60,207,207,207
2021-04-28T16:16:58.860Z,201,201,20,201,201,7,5,0,64,69,201,63,201,201,201
2021-05-03T04:46:26.850Z,185,185,32,185,185,11,8,0,73,76,184,50,185,185,185
2021-06-06T21:16:05.762Z,150,150,18,150,150,6,7,0,48,54,150,48,150,150,150
2021-06-14T06:06:26.634Z,150,150,14,150,148,1,9,0,64,66,149,53,150,150,150
2021-06-15T19:36:45.924Z,150,150,10,150,148,2,13,0,54,60,150,45,150,150,150
2021-06-16T20:59:15.597Z,1,1,0,1,1,0,0,0,0,1,1,0,1,1,1
2021-06-24T10:55:58.986Z,148,148,11,148,147,4,6,0,62,59,148,55,148,148,148
2021-06-28T18:13:29.466Z,135,135,13,135,132,5,12,0,62,62,135,64,135,135,135
2021-07-01T18:47:52.527Z,120,120,10,120,119,3,14,0,34,47,120,44,120,120,120
2021-07-08T08:31:15.434Z,120,120,13,120,119,5,10,0,43,50,120,44,120,120,120
2021-07-21T18:59:01.416Z,105,105,10,105,105,3,9,0,46,47,105,45,105,105,105
