lastScraped,position,company,contact,location,posted,due,start,end,compensation,qualifications,skills,remote,index,url,description
2021-04-12T10:45:09.119Z,47,47,1,47,47,2,6,0,23,4,47,33,47,47,47
2021-04-12T10:45:09.119Z,47,47,1,47,47,2,6,0,23,4,47,33,47,47,47
2021-04-12T10:45:09.119Z,47,47,1,47,47,2,6,0,23,4,47,33,47,47,47
2021-04-28T21:40:31.023Z,30,30,1,30,30,0,5,0,12,1,28,20,30,30,30
2021-05-03T17:21:48.767Z,32,32,4,32,32,0,3,0,17,2,32,16,32,32,32
2021-06-07T00:05:21.434Z,41,41,0,41,41,0,8,0,8,1,41,23,41,41,41
2021-06-07T00:05:21.434Z,41,41,0,41,41,0,8,0,8,1,41,23,41,41,41
2021-06-07T00:05:21.434Z,41,41,0,41,41,0,8,0,8,1,41,23,41,41,41
2021-06-07T00:05:21.434Z,41,41,0,41,41,0,8,0,8,1,41,23,41,41,41
2021-06-07T00:05:21.434Z,41,41,0,41,41,0,8,0,8,1,41,23,41,41,41
2021-06-28T19:37:08.041Z,39,39,2,39,39,0,6,0,12,2,39,25,39,39,39
2021-07-01T19:52:07.955Z,38,38,3,38,38,1,6,0,9,2,37,21,38,38,38
2021-07-08T09:49:32.485Z,33,33,0,33,33,0,5,0,11,5,33,24,33,33,33
2021-07-08T09:49:32.485Z,33,33,0,33,33,0,5,0,11,5,33,24,33,33,33
