lastScraped,position,company,contact,location,posted,due,start,end,compensation,qualifications,skills,remote,index,url,description
2021-04-12T08:07:48.465Z,74,74,6,74,74,0,2,0,19,30,74,12,74,74,74
2021-04-19T06:05:29.780Z,665,665,124,665,665,8,30,0,167,306,665,122,665,665,665
2021-04-24T17:19:38.835Z,278,278,46,278,278,1,12,0,66,124,278,52,278,278,278
2021-04-28T01:13:06.336Z,676,676,117,676,676,11,25,0,168,308,676,135,676,676,676
2021-04-28T16:33:46.647Z,677,677,115,677,677,10,23,0,166,313,677,137,677,677,677
2021-05-03T04:48:12.292Z,99,99,19,99,99,0,3,0,33,57,99,17,99,99,99
2021-05-03T04:48:12.292Z,99,99,19,99,99,0,3,0,33,57,99,17,99,99,99
N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-15T19:43:24.206Z,100,100,43,100,100,3,9,0,37,55,100,9,100,100,100
2021-06-21T06:51:58.290Z,170,170,45,170,170,7,23,0,52,89,170,19,170,170,170
2021-06-24T10:59:50.769Z,170,170,47,170,170,7,24,0,51,88,170,19,170,170,170
2021-06-28T18:12:55.600Z,170,170,43,170,170,5,24,0,63,87,170,23,170,170,170
2021-07-01T18:48:04.628Z,170,170,24,170,170,16,106,0,137,145,170,3,170,170,170
2021-07-01T18:48:04.628Z,170,170,24,170,170,16,106,0,137,145,170,3,170,170,170
2021-08-31T19:30:41.986Z,190,190,23,190,190,8,15,0,61,74,190,23,190,190,190
2021-09-03T18:42:22.621Z,262,262,37,262,262,16,18,0,81,114,262,36,262,262,262
2021-09-08T18:38:06.629Z,162,162,18,162,162,5,12,0,48,71,162,11,162,162,162
2021-09-10T17:49:07.882Z,405,405,46,405,405,18,38,0,145,189,405,63,405,405,405
2021-09-13T07:01:45.041Z,408,408,52,408,408,22,30,0,140,198,408,56,408,408,408
