lastScraped,position,company,contact,location,posted,due,start,end,compensation,qualifications,skills,remote,index,url,description
2021-04-05T04:10:24.425Z,96,96,0,96,0,0,0,0,0,0,84,1,96,96,96
2021-04-12T08:05:49.277Z,96,96,0,96,0,0,0,0,0,0,84,1,96,96,96
2021-04-19T05:41:17.602Z,96,96,0,96,0,0,0,0,0,0,84,1,96,96,96
2021-04-24T17:01:45.153Z,96,96,0,96,0,0,0,0,0,0,84,1,96,96,96
2021-04-28T00:51:15.650Z,97,97,0,97,0,0,0,0,0,0,85,1,97,97,97
2021-04-28T16:16:26.157Z,97,97,0,97,0,0,0,0,0,0,85,1,97,97,97
2021-05-03T04:45:52.727Z,97,97,0,97,0,0,0,0,0,0,85,1,97,97,97
2021-06-06T21:15:52.180Z,97,97,0,97,0,0,0,0,0,0,85,1,97,97,97
2021-06-14T06:06:09.880Z,97,97,0,97,0,0,0,0,0,0,85,1,97,97,97
2021-06-15T19:40:42.497Z,97,97,0,97,0,0,0,0,0,0,85,1,97,97,97
2021-06-21T06:47:42.728Z,97,97,0,97,0,0,0,0,0,0,85,1,97,97,97
2021-06-24T10:55:35.000Z,97,97,0,97,0,0,0,0,0,0,85,1,97,97,97
2021-06-28T18:08:36.760Z,97,97,0,97,0,0,0,0,0,0,85,1,97,97,97
2021-07-01T18:43:45.729Z,97,97,0,97,0,0,0,0,0,0,85,1,97,97,97
2021-07-08T08:27:08.330Z,97,97,0,97,0,0,0,0,0,0,85,1,97,97,97
2021-08-31T19:21:50.517Z,97,97,0,97,0,0,0,0,0,0,85,1,97,97,97
2021-09-03T18:31:18.257Z,97,97,0,97,0,0,0,0,0,0,85,1,97,97,97
