lastScraped,position,company,contact,location,posted,due,start,end,compensation,qualifications,skills,remote,index,url,description
2021-04-05T04:10:39.170Z,1005,1005,127,1005,1005,21,42,0,277,404,1004,340,1005,1005,1005
2021-04-12T08:06:06.463Z,911,911,106,911,911,26,52,0,270,398,909,320,911,911,911
2021-04-19T05:41:30.740Z,854,854,74,854,854,38,33,0,245,354,852,295,854,854,854
2021-04-24T17:01:57.420Z,349,349,40,349,349,5,20,0,121,139,349,100,349,349,349
2021-04-28T00:51:31.081Z,1095,1095,154,1095,1095,22,32,0,364,442,1093,480,1095,1095,1095
2021-04-28T16:16:36.470Z,1038,1038,109,1038,1038,23,27,0,381,442,1036,439,1038,1038,1038
2021-05-03T04:46:04.225Z,754,754,88,754,754,19,37,0,277,297,753,299,754,754,754
2021-06-06T21:15:59.396Z,653,653,39,653,653,16,17,0,272,265,652,252,653,653,653
2021-06-14T06:06:17.020Z,553,553,76,553,553,12,20,0,243,258,552,222,553,553,553
2021-06-15T19:40:55.878Z,247,247,22,247,247,1,12,0,96,97,246,83,247,247,247
2021-06-21T06:47:34.445Z,605,605,72,605,605,15,37,0,209,205,604,185,605,605,605
2021-06-24T10:55:28.194Z,790,790,79,790,790,10,32,0,317,355,789,321,790,790,790
2021-06-28T18:08:32.405Z,604,604,72,604,604,45,72,0,229,245,604,196,604,604,604
