lastScraped,position,company,contact,location,posted,due,start,end,compensation,qualifications,skills,remote,index,url,description
2021-04-05T04:10:51.511Z,40,40,4,40,40,1,2,0,26,26,40,25,40,40,40
2021-04-12T05:34:23.555Z,32,32,0,32,32,0,0,0,23,22,32,26,32,32,32
2021-04-12T10:37:47.410Z,32,32,0,32,32,0,0,0,23,22,32,26,32,32,32
2021-04-24T17:02:04.260Z,36,36,3,36,36,0,0,0,25,27,36,23,36,36,36
2021-04-28T00:52:19.474Z,103,103,16,103,103,3,5,0,31,32,103,32,103,103,103
2021-04-28T16:17:30.553Z,116,116,16,116,116,4,3,0,33,38,116,33,116,116,116
2021-05-03T04:46:17.883Z,21,21,3,21,21,0,0,0,7,7,20,10,21,21,21
2021-06-06T21:16:10.474Z,6,6,0,6,6,0,0,0,1,2,6,2,6,6,6
2021-06-14T06:06:34.733Z,59,59,6,59,59,1,2,0,19,22,59,14,59,59,59
2021-06-15T19:41:07.859Z,59,59,3,59,59,1,3,0,17,25,59,20,59,59,59
2021-06-21T06:47:53.890Z,21,21,0,21,20,0,2,0,6,6,21,0,21,21,21
2021-06-24T10:55:37.346Z,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1
2021-06-28T18:08:34.480Z,14,14,0,14,13,0,1,0,6,7,14,2,14,14,14
2021-07-01T18:44:09.072Z,69,69,13,69,69,1,4,0,19,27,69,22,69,69,69
2021-07-08T08:27:07.405Z,3,3,0,3,3,1,0,0,1,2,3,2,3,3,3
2021-08-31T19:22:14.385Z,26,26,2,26,26,2,1,0,7,13,26,4,26,26,26
2021-09-03T18:31:42.040Z,33,33,0,33,32,2,3,0,14,9,33,6,33,33,33
